first_name,last_name,email,phone,date_of_birth,address,city,state,zip_code,country,registration_date,last_login,total_orders,total_spent,loyalty_tier,preferred_category,is_active,marketing_consent
James,Fowler,craigbrown@example.org,(293)842-4064x42942,2003-11-23,"901 Franklin Throughway Suite 873
Moniquefurt, FM 63678",East Kennethton,Illinois,28935,Cocos (Keeling) Islands,2022-01-02,2025-03-16 00:31:15,18.01448257632752,30630.913555340852,Platinum,Home & Garden,False,True
Alejandro,Blanchard,travis06@example.com,(530)208-0966,1953-07-03,"56950 Kathryn Hollow
East John, IA 14551",Deborahstad,Arizona,65772,San Marino,2025-03-29,2025-04-03 16:31:29,16.469564690170845,23479.133623443322,Gold,Clothing,False,True
Jessica,Allison,elizabeth96@example.org,(431)497-5925x465,1990-02-12,"555 Ortega Stravenue
North Mackenzie, VT 19143",Erinbury,Maryland,02209,Palestinian Territory,2023-11-15,2024-12-31 07:33:34,25.447752690763792,30708.675463497857,Gold,Sports,True,False
Susan,Frazier,mgardner@example.com,001-857-878-0316x13576,1995-11-20,"1139 Weaver Squares Suite 269
South Lisafort, VA 84660",West Susanside,New York,91471,Suriname,2023-10-19,2024-11-10 05:06:27,73.44177107688222,43733.955464943916,Silver,Automotive,False,False
Katherine,Morgan,christopherperez@example.com,510.884.2003,1965-05-05,"61538 Marshall Viaduct
Gregorybury, MO 79595",South Paul,Vermont,06189,Chad,2022-05-10,2024-11-20 16:08:15,66.79900499221601,22058.64623480599,Platinum,Clothing,True,False
Dawn,Miller,osbornepatrick@example.com,9472499456,1983-10-15,"490 Lisa Orchard Apt. 089
Andersonview, FM 74794",Lake Karenberg,Minnesota,80589,Romania,2024-01-16,2025-06-14 16:12:27,41.08402710039728,29330.20435972657,Silver,Books,False,False
Bobby,Nichols,cookkara@example.com,001-327-598-0550,1963-02-08,"94827 Brown Roads
Eileenstad, ND 13185",Port Carolyn,Arkansas,43039,Vanuatu,2024-12-27,2025-05-19 19:17:52,95.25608762396736,5902.254703409712,Bronze,Food & Beverage,False,True
Mark,Hall,vburns@example.com,(365)859-1015x0451,1959-06-20,"1830 Derrick Forest
Livingstonshire, OK 06043",Angelaview,Nevada,49816,Thailand,2024-06-13,2024-09-17 14:32:45,76.81741961188997,46896.69864554118,Platinum,Sports,True,True
Jesse,Riddle,teresa68@example.net,603.542.9307x34848,1999-08-02,"Unit 1694 Box 3503
DPO AE 35491",South Timothyland,Colorado,09465,Saint Helena,2021-08-05,2024-10-07 11:05:35,97.66303768499515,8526.880892672974,Bronze,Beauty,True,True
Nicole,Reeves,stephaniegarcia@example.com,7276960110,1956-05-01,"4965 Chang Hills
Glassfort, SD 83505",Lauraton,Wisconsin,77110,Afghanistan,2022-04-09,2024-12-08 19:59:09,89.41928044384304,10513.922346006471,Silver,Beauty,False,True
Wendy,Myers,ywest@example.net,(965)337-9053,2000-02-09,"2894 Davis Plains
North Marktown, DE 18071",Ashleyland,Wyoming,24718,Fiji,2022-10-23,2024-10-22 14:38:37,58.48245280326934,23736.84484252872,Platinum,Beauty,False,True
Joseph,Frye,stephanie96@example.com,(519)704-9531,1949-02-06,"5585 Sherman Common Apt. 483
Gonzalesfurt, IN 11679",New Johnny,Michigan,02986,Kuwait,2025-08-20,2025-04-27 16:34:36,54.004650571152695,23489.561982641295,Bronze,Automotive,False,False
Jennifer,Briggs,derek29@example.com,(649)905-8553,1969-01-29,"618 Smith Mews Suite 895
Palmerborough, NY 52093",Petersonfort,Virginia,78563,Guinea-Bissau,2020-09-21,2024-12-15 06:37:34,15.324737779671018,47128.73644152061,Gold,Beauty,True,False
Linda,Sweeney,donna82@example.org,455-671-4136x8089,1947-10-10,"76990 Stephanie Lights
South Samuel, SC 45696",Danielbury,Iowa,18200,Bhutan,2023-03-31,2025-09-12 12:53:07,16.11494002311221,14458.20094044576,Bronze,Food & Beverage,False,True
Jessica,Rojas,phowell@example.org,(919)718-4174,2005-05-18,"585 Fisher Rest
Jonesburgh, IA 37632",Lambury,Maryland,91762,Marshall Islands,2023-10-01,2025-03-10 02:37:52,33.930421223297174,7473.247264600238,Silver,Clothing,True,True
Monica,Bond,kmartin@example.com,(752)633-7070x3855,1963-08-25,"9766 Danielle Circle
Garyport, WY 56857",Paulmouth,Colorado,69583,Uzbekistan,2025-01-27,2024-12-15 14:29:33,10.069426566333767,22975.809706328495,Platinum,Electronics,True,False
Shane,Knight,johnwest@example.org,7312940105,1997-12-06,"17515 Galloway Throughway
New Katherine, MO 99525",South Daniel,North Carolina,80579,Iran,2023-02-20,2024-09-21 14:10:06,61.85183230617486,39373.4974573064,Bronze,Home & Garden,True,True
Brandon,Henry,christopher32@example.org,289.826.0921x723,1991-06-26,"USNV Cooley
FPO AE 65423",Nelsontown,South Dakota,05382,Bermuda,2021-11-29,2025-04-03 13:26:52,36.07418510030162,35782.86322910803,Gold,Sports,False,True
Keith,Norris,courtney20@example.org,5184772175,1945-06-01,"PSC 4665, Box 7962
APO AP 85171",Holmesport,Oregon,77421,Kuwait,2023-01-12,2024-10-10 06:17:38,34.566169222219074,24063.952442692116,Silver,Books,True,True
