first_name,last_name,email,phone,date_of_birth,country,registration_date,last_login,total_orders,total_spent,loyalty_tier,preferred_category,is_active,marketing_consent
Nicole,Barnes,nicolehill@example.net,949.930.6136x39047,1945-12-15,Turkmenistan,2022-08-16,2025-05-07 04:19:05,87.02024989202853,15729.1149035885,Platinum,Electronics,True,False
Kenneth,Wright,robertsmary@example.net,(773)230-8848x16734,1956-06-07,Costa Rica,2021-04-18,2025-04-05 14:37:16,19.31058586731766,31136.044288437806,Silver,Automotive,False,True
John,Tate,grantfrank@example.org,001-299-830-2799,1952-01-31,Morocco,2025-07-25,2025-03-28 01:39:21,45.298078275772724,47838.7659166312,Platinum,Sports,False,False
Jason,Warner,robinsonphillip@example.com,001-284-912-3926x84071,1952-02-18,Finland,2023-03-28,2024-11-19 06:16:24,54.5515725679841,2549.6190153920707,Gold,Food & Beverage,False,True
Steven,Perez,joebaker@example.net,001-607-737-7721x55412,1961-12-16,Albania,2022-08-14,2025-06-02 04:56:27,81.72408632974161,25217.579064013917,Silver,Automotive,True,False
William,Smith,miguel96@example.org,907.951.2811x121,2002-03-01,Guinea,2023-05-24,2024-11-26 07:31:41,73.92774584419931,3228.0657252646124,Platinum,Electronics,True,True
James,Schwartz,sclark@example.com,+1-650-644-4158x772,1951-11-19,Turkmenistan,2023-11-16,2025-01-18 08:39:23,18.407945704422573,10173.739773274036,Gold,Books,True,False
Michael,Rodriguez,morrisonlindsey@example.org,001-605-589-1984,1960-10-21,Guatemala,2024-01-28,2024-10-12 03:10:51,56.25466265754553,29358.500894848676,Platinum,Home & Garden,False,True
Anna,Rojas,fpetersen@example.com,939.513.7865x180,1980-12-29,Hungary,2022-07-27,2025-07-15 17:52:20,16.44666307427238,4622.503240386338,Gold,Books,False,True
Jeffrey,Jackson,walter41@example.net,478.807.3439,1979-07-06,Georgia,2023-11-18,2024-10-21 23:39:12,40.31345170660889,19262.164290084525,Platinum,Food & Beverage,True,True
Larry,Johnson,campbellmarc@example.org,+1-334-267-7660x7634,1995-06-25,Tunisia,2022-10-08,2025-06-11 14:56:04,18.311003662842115,17593.266664325994,Platinum,Beauty,True,True
Julie,Martinez,cmcmillan@example.org,+1-739-673-0879x252,1986-07-11,United Kingdom,2024-04-11,2025-05-28 00:37:59,30.663893212122044,40257.85445380911,Gold,Clothing,False,True
David,Daniels,kortega@example.net,001-862-783-9492x4636,1990-07-29,Namibia,2022-10-13,2025-09-06 18:33:42,91.57542357808609,18145.002318950883,Bronze,Electronics,True,False
Rebecca,Simon,anthony42@example.org,(920)457-7712x566,1968-11-27,Azerbaijan,2023-06-26,2024-09-27 11:38:48,54.41424154653578,13429.127358051494,Platinum,Sports,True,False
Kelly,Miles,smithjavier@example.com,+1-214-356-2989,1956-06-10,Antarctica (the territory South of 60 deg S),2022-10-09,2025-03-06 00:48:43,23.095216749007946,27550.297547510247,Gold,Food & Beverage,False,False
Lori,Gonzalez,andersonjohnny@example.com,+1-789-246-5018x4451,1948-03-26,Saint Kitts and Nevis,2023-09-16,2025-07-27 03:19:48,69.68540429770182,29557.202168455162,Bronze,Clothing,True,False
Miranda,Holt,reesebelinda@example.com,821.424.5766,1949-09-17,Finland,2023-06-23,2024-09-23 19:01:08,94.51723766623687,38321.96000000392,Silver,Food & Beverage,True,True
Donna,Figueroa,emartinez@example.org,001-555-629-0310x947,1982-11-25,Netherlands Antilles,2021-08-15,2025-07-24 00:23:25,68.97200346140097,27513.89245954041,Gold,Home & Garden,False,True
Stephanie,Fletcher,vhamilton@example.org,+1-728-866-8077x866,1955-12-22,Turkey,2025-07-23,2024-10-28 02:12:05,78.52758171004503,29227.62014708419,Bronze,Automotive,False,True
Stephen,Baker,michele63@example.net,427-308-3335x17146,1977-01-05,Lesotho,2022-06-12,2025-04-03 03:43:03,85.19219963493774,19541.766570065138,Silver,Food & Beverage,False,False
Kelly,Gonzalez,williamhall@example.org,001-335-988-9273x9859,1947-01-27,Peru,2025-06-01,2025-06-10 12:06:25,92.37797926472298,13410.811965500008,Silver,Sports,True,False
Sarah,Jensen,branchtammy@example.com,669-968-9298x661,1971-07-06,Palau,2024-06-18,2025-01-11 17:56:59,7.284033407723789,45894.85294929562,Silver,Clothing,False,False
Maureen,Snyder,andrearodriguez@example.com,001-987-869-8159,1969-10-20,Jordan,2024-08-01,2024-12-28 00:08:16,0.9555018465283478,11415.448052176833,Bronze,Food & Beverage,False,False
Robert,Johnson,michelle18@example.org,+1-963-984-3229x12519,1954-12-30,India,2025-03-27,2025-07-13 20:20:10,95.38480376682156,7743.886700841639,Bronze,Home & Garden,True,False
Melissa,Snyder,courtney03@example.net,676.939.3718,1959-08-04,Korea,2022-09-21,2025-04-24 01:13:01,63.075329855562636,37711.815409267736,Gold,Sports,False,False
Ashley,Hoffman,connerbrian@example.net,986-895-7320x4333,1964-03-07,Equatorial Guinea,2024-10-02,2025-09-08 14:55:01,83.46439036816089,43000.52894112319,Bronze,Clothing,True,False
Melissa,Evans,kimberlyrose@example.com,+1-625-626-5116x185,1974-10-19,Benin,2021-11-11,2025-08-26 03:05:07,14.799100140394167,39106.25853029337,Platinum,Beauty,True,False
Stephanie,Reed,yferguson@example.org,833-648-7025x23684,1945-01-26,Guatemala,2022-04-24,2025-06-27 03:22:13,7.25784862222963,37204.73324147946,Bronze,Automotive,False,True
Colleen,James,kempjeffrey@example.com,001-507-289-9999x6090,1954-02-12,Greece,2021-11-18,2024-12-22 16:42:23,21.273252677828747,38968.04355962907,Silver,Food & Beverage,False,True
Nichole,Gray,ycallahan@example.net,325.662.1776x22703,1964-04-03,Papua New Guinea,2023-05-30,2025-04-04 23:06:08,41.72471933066578,10277.260093818306,Gold,Food & Beverage,False,True
Christine,Day,mcdonaldjames@example.net,264-260-2566,1983-08-02,Tuvalu,2023-07-15,2025-08-14 07:52:59,41.751106274333026,36324.06089123162,Bronze,Beauty,True,False
Benjamin,Gonzalez,xhumphrey@example.org,001-474-661-2268x3488,1952-10-31,Barbados,2024-04-19,2025-07-30 17:02:07,33.275255312636595,22034.56744609032,Platinum,Automotive,True,True
Austin,Wood,evansmiranda@example.net,5712010358,1966-07-18,Bosnia and Herzegovina,2025-04-17,2025-02-14 22:40:51,84.8698618403068,41426.2774991997,Bronze,Beauty,True,False
Lauren,Bryant,joseph85@example.com,841.856.2344x137,1965-03-11,Switzerland,2023-12-30,2025-02-22 06:53:38,60.9919937370375,43656.8073823252,Platinum,Food & Beverage,False,True
Laura,Wilson,leejames@example.org,905-558-3370x607,2006-02-01,Montserrat,2025-05-05,2024-10-21 17:10:44,96.91647927506511,46022.746722751705,Gold,Sports,True,False
Terrance,Figueroa,ykelly@example.com,584.542.2343,1967-09-28,Nauru,2023-08-25,2025-03-21 11:48:09,83.7830926088145,50464.74219597215,Silver,Books,False,False
Carly,Hartman,kelsey08@example.net,894-356-1096,1978-09-09,Australia,2024-04-06,2024-10-08 22:23:02,47.74696434290667,9494.453934985835,Gold,Clothing,False,True
Alison,Giles,xlam@example.net,(711)226-2896x319,1950-03-11,Uganda,2022-05-15,2025-03-09 23:04:19,65.67373417654338,47807.65638726365,Silver,Beauty,False,False
April,Ortiz,kathrynrichardson@example.org,001-769-964-7558x01086,1953-12-01,Sierra Leone,2021-05-25,2025-02-04 13:51:13,48.49085515355811,36982.5252428172,Platinum,Home & Garden,True,False
Laura,James,kfrench@example.net,464-294-8765,1953-04-15,Korea,2024-06-17,2025-04-06 13:37:26,-1.9383857554603228,32008.823989019085,Bronze,Books,False,False
